state,status
Alabama,0.0
Alaska,0.0
Arizona,0.5
Arkansas,0.5
California,1.0
Colorado,1.0
Connecticut,1.0
Delaware,1.0
District of Columbia,1.0
Florida,0.0
Georgia,0.25
Hawaii,1.0
Idaho,0.0
Illinois,1.0
Indiana,0.0
Iowa,0.0
Kansas,0.0
Kentucky,0.0
Louisiana,0.0
Maine,0.5
Maryland,1.0
Massachusetts,1.0
Michigan,0.5
Minnesota,0.5
Mississippi,0.0
Missouri,0.25
Montana,0.0
Nebraska,0.0
Nevada,0.5
New Hampshire,0.0
New Jersey,1.0
New Mexico,1.0
New York,1.0
North Carolina,0.5
North Dakota,0.0
Ohio,0.0
Oklahoma,0.5
Oregon,1.0
Pennsylvania,0.0
Rhode Island,1.0
South Carolina,0.0
South Dakota,0.0
Tennessee,0.0
Texas,0.0
Utah,0.0
Vermont,1.0
Virginia,0.0
Washington,1.0
West Virginia,0.0
Wisconsin,0.0
Wyoming,0.0
